species;year;table_name
Male Sheep less than 6 months;2014;Number of Sheep by Age and Purpose
Female Sheep less than 6 months;2014;Number of Sheep by Age and Purpose
Total Sheep less than 6 months;2014;Number of Sheep by Age and Purpose
Male Sheep 6 months and less than 1 year;2014;Number of Sheep by Age and Purpose
Female Sheep 6 months and less than 1 year;2014;Number of Sheep by Age and Purpose
Total Sheep 6 months and less than 1 year;2014;Number of Sheep by Age and Purpose
Male Sheep 1 year and less than 2 years;2014;Number of Sheep by Age and Purpose
Female Sheep 1 year and less than 2 years;2014;Number of Sheep by Age and Purpose
Total Sheep 1 year and less than 2 years;2014;Number of Sheep by Age and Purpose
Male Sheep 2 years and older;2014;Number of Sheep by Age and Purpose
Female Sheep 2 years and older;2014;Number of Sheep by Age and Purpose
Total Sheep 2 years and older;2014;Number of Sheep by Age and Purpose
Male Sheep for mutton;2014;Number of Sheep by Age and Purpose
Female Sheep for mutton;2014;Number of Sheep by Age and Purpose
Total Sheep for mutton;2014;Number of Sheep by Age and Purpose
Male Sheep for wool;2014;Number of Sheep by Age and Purpose
Female Sheep for wool;2014;Number of Sheep by Age and Purpose
Total Sheep for wool;2014;Number of Sheep by Age and Purpose
Male Sheep for breeding;2014;Number of Sheep by Age and Purpose
Female Sheep for breeding;2014;Number of Sheep by Age and Purpose
Total Sheep for breeding;2014;Number of Sheep by Age and Purpose
Male Sheep for other purposes;2014;Number of Sheep by Age and Purpose
Female Sheep for other purposes;2014;Number of Sheep by Age and Purpose
Total Sheep for other purposes;2014;Number of Sheep by Age and Purpose
Male Grand Total;2014;Number of Sheep by Age and Purpose
Female Grand Total;2014;Number of Sheep by Age and Purpose
Total Grand Total;2014;Number of Sheep by Age and Purpose
Male Local breed;2014;Number of Sheep by Age and Purpose
Female Local breed;2014;Number of Sheep by Age and Purpose
Total Local breed;2014;Number of Sheep by Age and Purpose
Male Exotic;2014;Number of Sheep by Age and Purpose
Female Exotic;2014;Number of Sheep by Age and Purpose
Total Exotic;2014;Number of Sheep by Age and Purpose
Male Hybrid;2014;Number of Sheep by Age and Purpose
Female Hybrid;2014;Number of Sheep by Age and Purpose
Total Hybrid;2014;Number of Sheep by Age and Purpose
Male Sheep less than 6 months;2015;Number of Sheep by Age and Purpose
Female Sheep less than 6 months;2015;Number of Sheep by Age and Purpose
Total Sheep less than 6 months;2015;Number of Sheep by Age and Purpose
Male Sheep 6 months and less than 1 year;2015;Number of Sheep by Age and Purpose
Female Sheep 6 months and less than 1 year;2015;Number of Sheep by Age and Purpose
Total Sheep 6 months and less than 1 year;2015;Number of Sheep by Age and Purpose
Male Sheep 1 year and less than 2 years;2015;Number of Sheep by Age and Purpose
Female Sheep 1 year and less than 2 years;2015;Number of Sheep by Age and Purpose
Total Sheep 1 year and less than 2 years;2015;Number of Sheep by Age and Purpose
Male Sheep 2 years and older;2015;Number of Sheep by Age and Purpose
Female Sheep 2 years and older;2015;Number of Sheep by Age and Purpose
Total Sheep 2 years and older;2015;Number of Sheep by Age and Purpose
Male Sheep for mutton;2015;Number of Sheep by Age and Purpose
Female Sheep for mutton;2015;Number of Sheep by Age and Purpose
Total Sheep for mutton;2015;Number of Sheep by Age and Purpose
Male Sheep for wool;2015;Number of Sheep by Age and Purpose
Female Sheep for wool;2015;Number of Sheep by Age and Purpose
Total Sheep for wool;2015;Number of Sheep by Age and Purpose
Male Sheep for breeding;2015;Number of Sheep by Age and Purpose
Female Sheep for breeding;2015;Number of Sheep by Age and Purpose
Total Sheep for breeding;2015;Number of Sheep by Age and Purpose
Male Sheep for other purposes;2015;Number of Sheep by Age and Purpose
Female Sheep for other purposes;2015;Number of Sheep by Age and Purpose
Total Sheep for other purposes;2015;Number of Sheep by Age and Purpose
Male Grand Total;2015;Number of Sheep by Age and Purpose
Female Grand Total;2015;Number of Sheep by Age and Purpose
